Devices,,,,,,,,,,,,,
1000,,,,,,,,,,,,,
,,Fx1 - Voltage,Fy1 - Voltage,Fz1 - Voltage,Fx2 - Voltage,Fy2 - Voltage,Fz2 - Voltage,Fx3 - Voltage,Fy3 - Voltage,Fz3 - Voltage,Fx4 - Voltage,Fy4 - Voltage,Fz4 - Voltage
Frame,Sub Frame,Fx1,Fy1,Fz1,Fx2,Fy2,Fz2,Fx3,Fy3,Fz3,Fx4,Fy4,Fz4
,,V,V,V,V,V,V,V,V,V,V,V,V
1937,8,1.93423,-1.90151,2.47371,-1.14945,-2.05522,1.70194,-1.35131,-2.154,1.38472,1.45223,-2.01984,1.61635
1937,9,2.15304,-1.86336,2.49232,-1.23521,-2.13762,1.75993,-1.4389,-2.19947,1.41432,1.64693,-1.98902,1.631
1938,0,2.31357,-1.8597,2.52711,-1.30906,-2.17638,1.79502,-1.4804,-2.29651,1.4598,1.80654,-1.88983,1.60323
1938,1,2.40909,-1.8478,2.57198,-1.3231,-2.20384,1.82584,-1.42944,-2.3194,1.44942,1.92586,-1.81171,1.60995
1938,2,2.48843,-1.79561,2.61317,-1.29411,-2.27342,1.87009,-1.35528,-2.36884,1.46956,2.00368,-1.74518,1.60811
1938,3,2.49423,-1.74892,2.67696,-1.24528,-2.33049,1.8997,-1.27776,-2.46802,1.50435,1.98506,-1.60663,1.57332
1938,4,2.37277,-1.75319,2.72334,-1.19035,-2.36009,1.91496,-1.20696,-2.6438,1.54067,1.86391,-1.46472,1.57699
1938,5,2.23147,-1.82247,2.76698,-1.15281,-2.33782,1.89603,-1.19018,-2.83667,1.59926,1.68935,-1.33625,1.56661
1938,6,2.0325,-1.93264,2.79964,-1.08354,-2.32561,1.90183,-1.1383,-3.01612,1.65755,1.49739,-1.28986,1.58645
1938,7,1.87503,-2.05989,2.83778,-1.00236,-2.32927,1.90977,-1.09222,-3.16138,1.7079,1.31978,-1.28223,1.6072
1938,8,1.77493,-2.14717,2.90706,-0.913247,-2.35033,1.93479,-1.00494,-3.23279,1.75704,1.21602,-1.35334,1.6365
1938,9,1.7438,-2.23232,2.9687,-0.824441,-2.36833,1.94852,-0.914301,-3.24347,1.7842,1.17879,-1.46869,1.64474
1939,0,1.70474,-2.36904,3.04103,-0.767983,-2.34819,1.93082,-0.849603,-3.27338,1.82448,1.14614,-1.50653,1.61849
1939,1,1.63302,-2.44503,3.07765,-0.745706,-2.33751,1.94181,-0.799249,-3.31824,1.86446,1.09456,-1.51569,1.60659
1939,2,1.53567,-2.5439,3.11336,-0.697793,-2.30486,1.93967,-0.735468,-3.37439,1.93648,1.00423,-1.51844,1.55471
1939,3,1.41025,-2.58327,3.14876,-0.605325,-2.2777,1.94761,-0.600885,-3.34662,1.99813,0.905963,-1.6756,1.60537
1939,4,1.32999,-2.5732,3.17928,-0.488442,-2.25298,1.92869,-0.473016,-3.27124,2.06008,0.793353,-1.89838,1.65694
1939,5,1.18899,-2.58937,3.20674,-0.371865,-2.23161,1.91404,-0.339349,-3.18763,2.13485,0.648089,-2.12574,1.69204
1939,6,1.0776,-2.58846,3.22414,-0.290994,-2.26762,1.92075,-0.286249,-3.05976,2.15071,0.482379,-2.38452,1.78054
1939,7,0.899992,-2.64644,3.25038,-0.230264,-2.24382,1.89756,-0.238031,-2.96332,2.18367,0.299273,-2.65979,1.85622
1939,8,0.744963,-2.72335,3.25771,-0.202187,-2.24413,1.90061,-0.2185,-2.89588,2.23922,0.149432,-2.91797,1.93526
1939,9,0.64456,-2.83748,3.28761,-0.201577,-2.26152,1.90366,-0.240167,-2.89038,2.28133,0.0410947,-3.14167,2.01949
1940,0,0.582915,-2.89516,3.3166,-0.228433,-2.29051,1.90519,-0.264886,-2.93555,2.3329,-0.000409241,-3.30799,2.09151
1940,1,0.607939,-2.86556,3.30013,-0.283364,-2.34087,1.91465,-0.309747,-2.99414,2.38387,0.0331601,-3.43708,2.14278
1940,2,0.639677,-2.90096,3.29189,-0.326394,-2.30028,1.88657,-0.345758,-3.01947,2.40737,0.0856503,-3.53168,2.22793
1940,3,0.682402,-2.9507,3.26503,-0.381021,-2.19011,1.84873,-0.36712,-3.0329,2.42873,0.154925,-3.60034,2.27157
1940,4,0.762053,-2.94521,3.21712,-0.40574,-2.07842,1.84232,-0.399469,-3.02039,2.45986,0.231219,-3.6742,2.31521
1940,5,0.868254,-3.01845,3.20644,-0.451821,-1.97435,1.80387,-0.431818,-2.97217,2.49099,0.343524,-3.7392,2.32925
1940,6,0.972319,-3.01784,3.17226,-0.513467,-1.93987,1.81303,-0.526422,-2.98072,2.5093,0.412494,-3.75354,2.33596
1940,7,0.981779,-3.01387,3.16707,-0.607156,-1.90782,1.79685,-0.626215,-3.03534,2.53768,0.421649,-3.72821,2.35274
1940,8,0.93112,-3.05477,3.15547,-0.66697,-1.90752,1.79014,-0.674127,-3.05091,2.52761,0.389605,-3.74439,2.34267
1940,9,0.902434,-3.00167,3.12343,-0.657815,-1.99571,1.83225,-0.691522,-2.95966,2.50167,0.390216,-3.9043,2.40035
