9.46,-55.16,952.61
95.44,-58.82,1098.8
73.7,-124.66,1077
46.46,-139.16,1013
11.29,-132.6,1083.4
-26.47,-194.78,1084.1
-66.3,-197.53,1098
-54.47,-253.3,1128.8
19,-274.66,1167.8
4.73,-237.96,1212.3
31.74,-280.84,1308.9
16.86,-254.06,1359.4
51.65,-274.43,1421.2
59.13,-261.15,1514.3
59.89,-244.37,1558.1
85.98,-239.49,1615.6
84.3,-173.26,1665
53.18,-200.27,1690.1
79.19,-157.32,1735.2
85.45,-122.6,1754.6
25.41,-121,1748.8
66.99,-103.68,1814
50.43,-106.81,1769.7
66.6,-67.06,1839.9
77.97,-104.14,1773.1
73.93,-0.38,1789.4
77.9,-25.86,1782.7
49.59,-50.13,1729.4
56.15,38.91,1768.7
50.58,-43.26,1712.8
43.72,18.62,1689.5
49.51,41.28,1674
66.83,1.83,1610.9
65,91.17,1603.7
54.4,55.39,1554.4
52.87,86.82,1546.8
37.92,131.15,1499
34.03,120.47,1463.6
18.77,167.31,1427.8
34.56,173.42,1371.5
12.05,192.72,1307.8
11.29,215,1288.3
9.84,214.39,1180.7
-0.46,235.75,1156.8
-4.58,228.58,1073.6
3.89,246.73,1015.3
-8.24,239.72,947.57
-7.71,250.09,856.17
-4.2,246.96,803.07
-18.01,235.44,720.37
-4.04,234.76,642.4
-8.16,216.9,584.26
-16.1,198.06,478.06
-3.43,201.11,452.12
-10.45,165.56,364.69
-15.34,166.17,313.57
-9.23,145.72,264.13
-10.3,120.54,223.85
-23.04,113.07,169.07
-12.97,77.74,142.52
-8.85,77.44,122.38
-10.22,47.23,83.77
-4.35,41.5,82.24
8.01,32.42,49.9
4.65,28.61,44.71
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-0,-0,-0
-1.07,-23.42,45.17
-8.32,-80.11,36.16
-2.52,4.43,164.79
-13.35,-33.34,211.79
-28.23,-61.87,314.94
6.87,27.92,398.1
